GENE P MarkerN MarkerNTEST genename Annotation
ENSG00000164142 0.6963400184806 29 29 FAM160A1 HiCpLOF
ENSG00000204351 0.696539211356439 43 43 SKIV2L HiCpLOF
ENSG00000131142 0.696713486154178 4 4 CCL25 HiCpLOF
ENSG00000127463 0.696772991381373 30 30 EMC1 HiCpLOF
ENSG00000058063 0.696926879861976 28 28 ATP11B HiCpLOF
ENSG00000188833 0.696989353461214 14 14 ENTPD8 HiCpLOF
ENSG00000053328 0.697088793541748 10 10 METTL24 HiCpLOF
ENSG00000189306 0.697206187545487 16 16 RRP7A HiCpLOF
ENSG00000078081 0.697268115412702 11 11 LAMP3 HiCpLOF
ENSG00000119979 0.697368172959682 8 8 DENND10 HiCpLOF
ENSG00000151023 0.697546199865383 13 13 ENKUR HiCpLOF
ENSG00000159387 0.697605810597717 18 18 IRX6 HiCpLOF
ENSG00000112414 0.697703998251285 22 22 ADGRG6 HiCpLOF
ENSG00000100104 0.697736476223411 11 11 SRRD HiCpLOF
ENSG00000125703 0.698331961507825 11 11 ATG4C HiCpLOF
ENSG00000114859 0.698398608103438 20 20 CLCN2 HiCpLOF
ENSG00000109775 0.698740329967075 16 16 UFSP2 HiCpLOF
ENSG00000141503 0.698747594446248 12 12 MINK1 HiCpLOF
ENSG00000169302 0.699224638030762 11 11 STK32A HiCpLOF
ENSG00000108439 0.699263327494752 7 7 PNPO HiCpLOF
ENSG00000214575 0.699308999196327 5 5 CPEB1 HiCpLOF
ENSG00000143994 0.699501110207356 16 16 ABHD1 HiCpLOF
ENSG00000130589 0.69982425062086 51 51 HELZ2 HiCpLOF
ENSG00000167978 0.699907669173768 9 9 SRRM2 HiCpLOF
ENSG00000171495 0.700015084769442 45 45 MROH2B HiCpLOF
ENSG00000146063 0.700056843778179 5 5 TRIM41 HiCpLOF
ENSG00000148843 0.700419584738202 26 26 PDCD11 HiCpLOF
ENSG00000070814 0.700442074072043 6 6 TCOF1 HiCpLOF
ENSG00000103485 0.700475792218458 7 7 QPRT HiCpLOF
ENSG00000179532 0.700546521221855 146 146 DNHD1 HiCpLOF
ENSG00000229544 0.700932057507077 2 2 NKX1-2 HiCpLOF
ENSG00000172497 0.700933266948148 16 16 ACOT12 HiCpLOF
ENSG00000080200 0.701008296613838 74 74 CRYBG3 HiCpLOF
ENSG00000151332 0.701016919158286 13 13 MBIP HiCpLOF
ENSG00000215883 0.701142388891852 4 4 CYB5RL HiCpLOF
ENSG00000001036 0.701571870218181 17 17 FUCA2 HiCpLOF
ENSG00000103942 0.701599641597526 12 12 HOMER2 HiCpLOF
ENSG00000165795 0.701710246409172 9 9 NDRG2 HiCpLOF
ENSG00000115364 0.702044810446182 15 15 MRPL19 HiCpLOF
ENSG00000135404 0.702073773513577 13 13 CD63 HiCpLOF
ENSG00000123219 0.70207470040924 10 10 CENPK HiCpLOF
ENSG00000137404 0.702130810668383 9 9 NRM HiCpLOF
ENSG00000169733 0.702222802695671 12 12 RFNG HiCpLOF
ENSG00000162614 0.702538721651594 23 23 NEXN HiCpLOF
ENSG00000073008 0.702667588538801 13 13 PVR HiCpLOF
ENSG00000144410 0.702882867664569 16 16 CPO HiCpLOF
ENSG00000104879 0.703379156100873 14 14 CKM HiCpLOF
ENSG00000080503 0.703415592247082 12 12 SMARCA2 HiCpLOF
ENSG00000136718 0.703519376345906 10 10 IMP4 HiCpLOF
ENSG00000118197 0.703525489217412 15 15 DDX59 HiCpLOF
ENSG00000204962 0.703529061156251 26 26 PCDHA8 HiCpLOF
ENSG00000123191 0.703987770621442 50 50 ATP7B HiCpLOF
ENSG00000094963 0.703992160670886 14 14 FMO2 HiCpLOF
ENSG00000112855 0.704015638668489 14 14 HARS2 HiCpLOF
ENSG00000183569 0.704577353989996 10 10 SERHL2 HiCpLOF
ENSG00000133328 0.704920548109461 3 3 PLAAT2 HiCpLOF
ENSG00000115568 0.704931401254629 42 42 ZNF142 HiCpLOF
ENSG00000133805 0.704938105105914 19 19 AMPD3 HiCpLOF
ENSG00000273540 0.7051247995692 34 34 AGBL1 HiCpLOF
ENSG00000112293 0.705200886482857 20 20 GPLD1 HiCpLOF
ENSG00000197888 0.705367794908556 7 7 UGT2B17 HiCpLOF
ENSG00000156194 0.705439574758896 23 23 PPEF2 HiCpLOF
ENSG00000120896 0.705467663470565 31 31 SORBS3 HiCpLOF
ENSG00000149218 0.705708481423529 6 6 ENDOD1 HiCpLOF
ENSG00000133115 0.705717203183003 9 9 STOML3 HiCpLOF
ENSG00000168356 0.705807904409762 56 56 SCN11A HiCpLOF
ENSG00000166825 0.705830994473493 22 22 ANPEP HiCpLOF
ENSG00000107959 0.705882040889154 40 40 PITRM1 HiCpLOF
ENSG00000106976 0.706161613020101 8 8 DNM1 HiCpLOF
ENSG00000205639 0.706327153066856 11 11 MFSD2B HiCpLOF
ENSG00000077984 0.706396016130332 5 5 CST7 HiCpLOF
ENSG00000102780 0.706447593705105 30 30 DGKH HiCpLOF
ENSG00000205356 0.706469983121038 23 23 TECPR1 HiCpLOF
ENSG00000105700 0.706470533897466 6 6 KXD1 HiCpLOF
ENSG00000181626 0.706645000885525 26 26 ANKRD62 HiCpLOF
ENSG00000163520 0.706725919126011 30 30 FBLN2 HiCpLOF
ENSG00000160746 0.706854962848803 23 23 ANO10 HiCpLOF
ENSG00000136122 0.706921760581975 17 17 BORA HiCpLOF
ENSG00000188352 0.707176768659705 60 60 FOCAD HiCpLOF
ENSG00000158517 0.707194465500994 2 2 NCF1 HiCpLOF
ENSG00000152382 0.707263114237124 6 6 TADA1 HiCpLOF
ENSG00000148356 0.707521907364748 16 16 LRSAM1 HiCpLOF
ENSG00000117724 0.707548104010864 85 85 CENPF HiCpLOF
ENSG00000107249 0.707865060580539 17 17 GLIS3 HiCpLOF
ENSG00000127564 0.708002635328369 16 16 PKMYT1 HiCpLOF
ENSG00000150403 0.708457840000093 16 16 TMCO3 HiCpLOF
ENSG00000151806 0.708474029687439 33 33 GUF1 HiCpLOF
ENSG00000060566 0.708545617525586 10 10 CREB3L3 HiCpLOF
ENSG00000136193 0.708957752694779 6 6 SCRN1 HiCpLOF
ENSG00000105852 0.708974649169964 11 11 PON3 HiCpLOF
ENSG00000160505 0.70901736734118 26 26 NLRP4 HiCpLOF
ENSG00000162520 0.709088158989659 10 10 SYNC HiCpLOF
ENSG00000156802 0.709310867761892 25 25 ATAD2 HiCpLOF
ENSG00000178999 0.70958513711605 5 5 AURKB HiCpLOF
ENSG00000172803 0.709667541542743 18 18 SNX32 HiCpLOF
ENSG00000071894 0.709819440001052 34 34 CPSF1 HiCpLOF
ENSG00000115866 0.71022753999459 15 15 DARS1 HiCpLOF
ENSG00000106302 0.710322889939166 14 14 HYAL4 HiCpLOF
ENSG00000182156 0.710419351516258 16 16 ENPP7 HiCpLOF
ENSG00000164796 0.710751004843672 35 35 CSMD3 HiCpLOF
ENSG00000158865 0.710764663594865 9 9 SLC5A11 HiCpLOF
ENSG00000117245 0.710869316383883 21 21 KIF17 HiCpLOF
ENSG00000171453 0.710902053878496 17 17 POLR1C HiCpLOF
ENSG00000280571 0.710955464330933 30 30 AC006059.2 HiCpLOF
ENSG00000117090 0.710999780822627 4 4 SLAMF1 HiCpLOF
ENSG00000137720 0.711115463703062 12 12 C11orf1 HiCpLOF
ENSG00000148019 0.71117680609127 13 13 CEP78 HiCpLOF
ENSG00000100335 0.711216475430362 12 12 MIEF1 HiCpLOF
ENSG00000120899 0.711490340878967 15 15 PTK2B HiCpLOF
ENSG00000110090 0.711577590996085 14 14 CPT1A HiCpLOF
ENSG00000175029 0.7117753915981 31 31 CTBP2 HiCpLOF
ENSG00000205710 0.711811332005625 3 3 C17orf107 HiCpLOF
ENSG00000133392 0.711813545755847 24 24 MYH11 HiCpLOF
ENSG00000163006 0.711969932995559 21 21 CCDC138 HiCpLOF
ENSG00000168067 0.712270249817057 19 19 MAP4K2 HiCpLOF
ENSG00000170298 0.712277030358968 8 8 LGALS9B HiCpLOF
ENSG00000188039 0.712623868090919 50 50 NWD1 HiCpLOF
ENSG00000143552 0.71278060624393 20 20 NUP210L HiCpLOF
ENSG00000154611 0.712832837960401 11 11 PSMA8 HiCpLOF
ENSG00000181513 0.713224048276205 9 9 ACBD4 HiCpLOF
ENSG00000188687 0.713456313276055 20 20 SLC4A5 HiCpLOF
ENSG00000285053 0.71359707450384 16 16 AL357556.3 HiCpLOF
ENSG00000063761 0.713641826551016 14 14 ADCK1 HiCpLOF
ENSG00000123609 0.713802655525389 12 12 NMI HiCpLOF
ENSG00000112893 0.713901588437342 22 22 MAN2A1 HiCpLOF
ENSG00000198951 0.713978528956633 12 12 NAGA HiCpLOF
ENSG00000155324 0.713981905771752 16 16 GRAMD2B HiCpLOF
ENSG00000184719 0.714046517371592 13 13 RNLS HiCpLOF
ENSG00000080546 0.714200710612424 15 15 SESN1 HiCpLOF
ENSG00000238083 0.714320331426985 3 3 LRRC37A2 HiCpLOF
ENSG00000115827 0.714587436535206 15 15 DCAF17 HiCpLOF
ENSG00000122861 0.714614736611169 15 15 PLAU HiCpLOF
ENSG00000155158 0.714765083195518 28 28 TTC39B HiCpLOF
ENSG00000142619 0.714786459344189 15 15 PADI3 HiCpLOF
ENSG00000152760 0.714841873813252 3 3 TCTEX1D1 HiCpLOF
ENSG00000167772 0.71506089916435 17 17 ANGPTL4 HiCpLOF
ENSG00000133250 0.715306389414467 9 9 ZNF414 HiCpLOF
ENSG00000079931 0.71554511632738 24 24 MOXD1 HiCpLOF
ENSG00000178035 0.715658940173464 13 13 IMPDH2 HiCpLOF
ENSG00000186393 0.715828298249293 14 14 KRT26 HiCpLOF
ENSG00000116690 0.716079454790051 38 38 PRG4 HiCpLOF
ENSG00000176769 0.716082041973326 13 13 TCERG1L HiCpLOF
ENSG00000162946 0.7160874610156 24 24 DISC1 HiCpLOF
ENSG00000188596 0.716164791829789 97 97 CFAP54 HiCpLOF
ENSG00000066827 0.716318048962663 18 18 ZFAT HiCpLOF
ENSG00000157211 0.716392975365696 14 14 CDCP2 HiCpLOF
ENSG00000185955 0.716400895731651 5 5 C7orf61 HiCpLOF
ENSG00000164116 0.716572428822012 22 22 GUCY1A1 HiCpLOF
ENSG00000139269 0.71659190877387 4 4 INHBE HiCpLOF
ENSG00000089199 0.716657989367555 18 18 CHGB HiCpLOF
ENSG00000101310 0.716706515433297 22 22 SEC23B HiCpLOF
ENSG00000100344 0.716816319253855 10 10 PNPLA3 HiCpLOF
ENSG00000146670 0.716921109869466 9 9 CDCA5 HiCpLOF
ENSG00000113924 0.71694626892712 14 14 HGD HiCpLOF
ENSG00000205857 0.716965956100017 11 11 NANOGNB HiCpLOF
ENSG00000167588 0.717115343258043 9 9 GPD1 HiCpLOF
ENSG00000099840 0.718241091341406 15 15 IZUMO4 HiCpLOF
ENSG00000167633 0.718414107931467 14 14 KIR3DL1 HiCpLOF
ENSG00000156711 0.718794140914365 8 8 MAPK13 HiCpLOF
ENSG00000163975 0.718872713434204 26 26 MELTF HiCpLOF
ENSG00000204186 0.719050852563306 18 18 ZDBF2 HiCpLOF
ENSG00000150275 0.7193345038427 45 45 PCDH15 HiCpLOF
ENSG00000105352 0.719749671007328 10 10 CEACAM4 HiCpLOF
ENSG00000071794 0.719814849492304 32 32 HLTF HiCpLOF
ENSG00000117322 0.719955320780313 46 46 CR2 HiCpLOF
ENSG00000137561 0.71999181508635 12 12 TTPA HiCpLOF
ENSG00000075673 0.720227380627782 28 28 ATP12A HiCpLOF
ENSG00000154305 0.720802180996347 32 32 MIA3 HiCpLOF
ENSG00000253731 0.720935306166323 19 19 PCDHGA6 HiCpLOF
ENSG00000165526 0.720999501562727 12 12 RPUSD4 HiCpLOF
ENSG00000178997 0.721297615009576 19 19 EXD1 HiCpLOF
ENSG00000204264 0.721459713175251 10 10 PSMB8 HiCpLOF
ENSG00000105928 0.721753489156402 15 15 GSDME HiCpLOF
ENSG00000151065 0.721966909266853 14 14 DCP1B HiCpLOF
ENSG00000139648 0.722504720848364 11 11 KRT71 HiCpLOF
ENSG00000137142 0.722521178533308 10 10 IGFBPL1 HiCpLOF
ENSG00000179750 0.722695647763178 8 8 APOBEC3B HiCpLOF
ENSG00000157856 0.724017238076517 23 23 DRC1 HiCpLOF
ENSG00000114316 0.724135545104345 22 22 USP4 HiCpLOF
ENSG00000164122 0.724144053282045 6 6 ASB5 HiCpLOF
ENSG00000164509 0.724183009121517 20 20 IL31RA HiCpLOF
ENSG00000161013 0.724387219672397 16 16 MGAT4B HiCpLOF
ENSG00000107263 0.724579643674087 8 8 RAPGEF1 HiCpLOF
ENSG00000182938 0.724680053474644 10 10 OTOP3 HiCpLOF
ENSG00000099377 0.724744704569789 10 10 HSD3B7 HiCpLOF
ENSG00000127481 0.724763307824816 31 31 UBR4 HiCpLOF
ENSG00000204472 0.724878628376337 7 7 AIF1 HiCpLOF
ENSG00000231925 0.724914131620478 13 13 TAPBP HiCpLOF
ENSG00000104529 0.7249222510667 22 22 EEF1D HiCpLOF
ENSG00000244474 0.724970628933927 16 16 UGT1A4 HiCpLOF
ENSG00000165816 0.725015591673385 15 15 VWA2 HiCpLOF
ENSG00000087301 0.725284876288819 19 19 TXNDC16 HiCpLOF
ENSG00000180776 0.725553237593946 13 13 ZDHHC20 HiCpLOF
ENSG00000198870 0.725641575662474 18 18 STKLD1 HiCpLOF
ENSG00000196547 0.725722877866289 26 26 MAN2A2 HiCpLOF
ENSG00000123240 0.725827214002347 20 20 OPTN HiCpLOF
ENSG00000213889 0.72600530188632 15 15 PPM1N HiCpLOF
ENSG00000132549 0.726062882915389 108 108 VPS13B HiCpLOF
ENSG00000165821 0.726063259692254 15 15 SALL2 HiCpLOF
ENSG00000134222 0.726115519216183 16 16 PSRC1 HiCpLOF
ENSG00000139263 0.726160333631422 29 29 LRIG3 HiCpLOF
ENSG00000178053 0.726162170245798 12 12 MLF1 HiCpLOF
ENSG00000164169 0.72622277119503 21 21 PRMT9 HiCpLOF
ENSG00000087076 0.726689227363863 4 4 HSD17B14 HiCpLOF
ENSG00000135409 0.7266924620174 17 17 AMHR2 HiCpLOF
ENSG00000214063 0.726728542167327 18 18 TSPAN4 HiCpLOF
ENSG00000111801 0.726763690487085 9 9 BTN3A3 HiCpLOF
ENSG00000164398 0.726944721119322 19 19 ACSL6 HiCpLOF
ENSG00000188897 0.727405564116484 58 58 AC099489.1 HiCpLOF
ENSG00000163793 0.727423072265848 7 7 DNAJC5G HiCpLOF
ENSG00000175110 0.727475345670206 8 8 MRPS22 HiCpLOF
ENSG00000144395 0.727499850844156 36 36 CCDC150 HiCpLOF
ENSG00000167779 0.727544378011248 4 4 IGFBP6 HiCpLOF
ENSG00000101311 0.727844433733763 18 18 FERMT1 HiCpLOF
ENSG00000135297 0.728225176004452 22 22 MTO1 HiCpLOF
ENSG00000123472 0.72828003765455 9 9 ATPAF1 HiCpLOF
ENSG00000205531 0.728328286841149 2 2 NAP1L4 HiCpLOF
ENSG00000145331 0.728352343304576 10 10 TRMT10A HiCpLOF
ENSG00000114790 0.728360939512221 22 22 ARHGEF26 HiCpLOF
ENSG00000166816 0.728422353277135 24 24 LDHD HiCpLOF
ENSG00000119574 0.728457541142381 9 9 ZBTB45 HiCpLOF
ENSG00000101425 0.72881711065423 16 16 BPI HiCpLOF
ENSG00000162430 0.728897367922285 19 19 SELENON HiCpLOF
ENSG00000176697 0.728915807677318 6 6 BDNF HiCpLOF
ENSG00000127419 0.728946319314441 15 15 TMEM175 HiCpLOF
ENSG00000155542 0.729019497548493 8 8 SETD9 HiCpLOF
ENSG00000099917 0.729127157426751 12 12 MED15 HiCpLOF
ENSG00000185803 0.729151398634768 8 8 SLC52A2 HiCpLOF
ENSG00000100258 0.729208682199161 31 31 LMF2 HiCpLOF
ENSG00000163312 0.729319172972617 16 16 HELQ HiCpLOF
ENSG00000124602 0.729552422622907 17 17 UNC5CL HiCpLOF
ENSG00000163424 0.72975696069678 8 8 TEX55 HiCpLOF
ENSG00000170469 0.729773477529046 9 9 SPATA24 HiCpLOF
ENSG00000112936 0.729828022433116 31 31 C7 HiCpLOF
ENSG00000153802 0.729898917821845 10 10 TMPRSS11D HiCpLOF
ENSG00000149474 0.729945835501369 30 30 KAT14 HiCpLOF
ENSG00000132704 0.7300531011839 19 19 FCRL2 HiCpLOF
ENSG00000204520 0.730092712990779 9 9 MICA HiCpLOF
ENSG00000183742 0.730190085629373 22 22 MACC1 HiCpLOF
ENSG00000198785 0.730256293332168 21 21 GRIN3A HiCpLOF
ENSG00000034152 0.730317064993728 5 5 MAP2K3 HiCpLOF
ENSG00000153832 0.73041430604837 4 4 FBXO36 HiCpLOF
ENSG00000131016 0.730437224574548 40 40 AKAP12 HiCpLOF
ENSG00000204420 0.730502723840897 19 19 MPIG6B HiCpLOF
ENSG00000117114 0.730576872837891 13 13 ADGRL2 HiCpLOF
ENSG00000182923 0.730611646993587 24 24 CEP63 HiCpLOF
ENSG00000119487 0.730646856971348 10 10 MAPKAP1 HiCpLOF
ENSG00000131871 0.730901237899491 9 9 SELENOS HiCpLOF
ENSG00000163482 0.731115095354707 38 38 STK36 HiCpLOF
ENSG00000065457 0.731119316895982 17 17 ADAT1 HiCpLOF
ENSG00000177455 0.731139159439238 7 7 CD19 HiCpLOF
ENSG00000008710 0.731242146583879 20 20 PKD1 HiCpLOF
ENSG00000184571 0.731252840160802 39 39 PIWIL3 HiCpLOF
ENSG00000145782 0.731353599897443 4 4 ATG12 HiCpLOF
ENSG00000130713 0.731374306025201 7 7 EXOSC2 HiCpLOF
ENSG00000056050 0.73157219034728 12 12 HPF1 HiCpLOF
ENSG00000070985 0.731638212540123 36 36 TRPM5 HiCpLOF
ENSG00000110811 0.731719134335541 22 22 P3H3 HiCpLOF
ENSG00000167280 0.731747706176198 34 34 ENGASE HiCpLOF
ENSG00000087269 0.731759471576196 24 24 NOP14 HiCpLOF
ENSG00000166908 0.731765355564222 10 10 PIP4K2C HiCpLOF
ENSG00000184206 0.731802163741946 7 7 GOLGA6L4 HiCpLOF
ENSG00000188037 0.73193003167552 25 25 CLCN1 HiCpLOF
ENSG00000104237 0.731986330770636 50 50 RP1 HiCpLOF
ENSG00000163743 0.732013504382621 9 9 RCHY1 HiCpLOF
ENSG00000170364 0.732066199649074 24 24 SETMAR HiCpLOF
ENSG00000113073 0.732216804953187 25 25 SLC4A9 HiCpLOF
ENSG00000132763 0.732441145245256 18 18 MMACHC HiCpLOF
ENSG00000146005 0.732520308054747 16 16 PSD2 HiCpLOF
ENSG00000179593 0.732590798223168 22 22 ALOX15B HiCpLOF
ENSG00000092841 0.732673555733093 17 17 MYL6 HiCpLOF
ENSG00000138892 0.732835362179498 25 25 TTLL8 HiCpLOF
ENSG00000132623 0.732925141694528 21 21 ANKEF1 HiCpLOF
ENSG00000149231 0.733086565276846 17 17 CCDC82 HiCpLOF
ENSG00000160051 0.73362325375717 8 8 IQCC HiCpLOF
ENSG00000079393 0.733963847848409 17 17 DUSP13 HiCpLOF
ENSG00000184730 0.7340511533828 34 34 APOBR HiCpLOF
ENSG00000167851 0.734153567856993 5 5 CD300A HiCpLOF
ENSG00000022556 0.734351227193359 64 64 NLRP2 HiCpLOF
ENSG00000099999 0.734435425029146 9 9 RNF215 HiCpLOF
ENSG00000162779 0.7344712784459 33 33 AXDND1 HiCpLOF
ENSG00000101407 0.734595615286514 32 32 TTI1 HiCpLOF
ENSG00000106948 0.734598699407224 25 25 AKNA HiCpLOF
ENSG00000153303 0.734716475365276 16 16 FRMD1 HiCpLOF
ENSG00000114956 0.734763341895782 11 11 DGUOK HiCpLOF
ENSG00000153165 0.734773969328053 41 41 RGPD3 HiCpLOF
ENSG00000139746 0.734890626446955 4 4 RBM26 HiCpLOF
ENSG00000169951 0.734984593289328 6 6 ZNF764 HiCpLOF
ENSG00000151353 0.735054786010636 9 9 TMEM18 HiCpLOF
ENSG00000119392 0.735100441195343 16 16 GLE1 HiCpLOF
ENSG00000159588 0.735171786680842 37 37 CCDC17 HiCpLOF
ENSG00000124006 0.735215732333155 59 59 OBSL1 HiCpLOF
ENSG00000010704 0.735376665473292 10 10 HFE HiCpLOF
ENSG00000235173 0.735508749072135 12 12 HGH1 HiCpLOF
ENSG00000184945 0.735583187579483 6 6 AQP12A HiCpLOF
ENSG00000175877 0.735850457268695 8 8 TMEM270 HiCpLOF
ENSG00000183273 0.735954329467159 20 20 CCDC60 HiCpLOF
ENSG00000118369 0.735998641824643 27 27 USP35 HiCpLOF
ENSG00000251369 0.736110117279656 23 23 ZNF550 HiCpLOF
ENSG00000185379 0.73621694076976 14 14 RAD51D HiCpLOF
ENSG00000127586 0.736445314723511 49 49 CHTF18 HiCpLOF
ENSG00000183638 0.736514351373331 16 16 RP1L1 HiCpLOF
ENSG00000135226 0.736549135329025 17 17 UGT2B28 HiCpLOF
ENSG00000196407 0.736662894338792 5 5 THEM5 HiCpLOF
ENSG00000072163 0.736778476515402 14 14 LIMS2 HiCpLOF
ENSG00000044459 0.736968844567676 65 65 CNTLN HiCpLOF
ENSG00000104953 0.73725432300691 20 20 TLE6 HiCpLOF
ENSG00000164904 0.737590384818526 16 16 ALDH7A1 HiCpLOF
ENSG00000187550 0.737662152126461 10 10 SBK2 HiCpLOF
ENSG00000143401 0.737761936643513 3 3 ANP32E HiCpLOF
ENSG00000127580 0.737859850611935 16 16 WDR24 HiCpLOF
ENSG00000184381 0.737958632884346 28 28 PLA2G6 HiCpLOF
ENSG00000064205 0.738114870391888 4 4 CCN5 HiCpLOF
ENSG00000146833 0.738184059215515 7 7 TRIM4 HiCpLOF
ENSG00000109854 0.738247541200992 11 11 HTATIP2 HiCpLOF
ENSG00000176601 0.738272684892405 48 48 MAP3K19 HiCpLOF
ENSG00000105499 0.738483247959317 13 13 PLA2G4C HiCpLOF
ENSG00000104218 0.738682860659066 40 40 CSPP1 HiCpLOF
ENSG00000143476 0.738691959503072 18 18 DTL HiCpLOF
ENSG00000116731 0.738744290522639 16 16 PRDM2 HiCpLOF
ENSG00000167799 0.739117847658089 3 3 NUDT8 HiCpLOF
ENSG00000154556 0.739332721309689 32 32 SORBS2 HiCpLOF
ENSG00000185215 0.739377350140773 17 17 TNFAIP2 HiCpLOF
ENSG00000073146 0.739540834907833 31 31 MOV10L1 HiCpLOF
ENSG00000105136 0.739557594976773 22 22 ZNF419 HiCpLOF
ENSG00000131737 0.739591732352334 10 10 KRT34 HiCpLOF
ENSG00000221955 0.739599400201791 27 27 SLC12A8 HiCpLOF
ENSG00000151498 0.739795077301109 16 16 ACAD8 HiCpLOF
ENSG00000157796 0.739816157772007 30 30 WDR19 HiCpLOF
ENSG00000160539 0.739855565827676 5 5 PLPP7 HiCpLOF
ENSG00000131591 0.739917627407304 16 16 C1orf159 HiCpLOF
ENSG00000078070 0.740032096071355 20 20 MCCC1 HiCpLOF
ENSG00000121270 0.740115861518103 38 38 ABCC11 HiCpLOF
ENSG00000135423 0.74019857409808 22 22 GLS2 HiCpLOF
ENSG00000143614 0.740201206787229 1 1 GATAD2B HiCpLOF
ENSG00000006744 0.740208422911266 25 25 ELAC2 HiCpLOF
ENSG00000140575 0.740353816109009 16 16 IQGAP1 HiCpLOF
ENSG00000164893 0.74045573092636 10 10 SLC7A13 HiCpLOF
ENSG00000184293 0.74051478459436 6 6 CLECL1 HiCpLOF
ENSG00000119004 0.740533547317585 17 17 CYP20A1 HiCpLOF
ENSG00000127124 0.74070011037578 20 20 HIVEP3 HiCpLOF
ENSG00000133835 0.740718431756696 17 17 HSD17B4 HiCpLOF
ENSG00000214694 0.740928672344947 16 16 ARHGEF33 HiCpLOF
ENSG00000213672 0.741122997201118 15 15 NCKIPSD HiCpLOF
ENSG00000035115 0.741152890325974 21 21 SH3YL1 HiCpLOF
ENSG00000161671 0.74120423359954 10 10 EMC10 HiCpLOF
ENSG00000102890 0.741344767652461 23 23 ELMO3 HiCpLOF
ENSG00000172771 0.741372653875129 16 16 EFCAB12 HiCpLOF
ENSG00000066056 0.741384165207159 27 27 TIE1 HiCpLOF
ENSG00000124469 0.74139641360799 11 11 CEACAM8 HiCpLOF
ENSG00000008323 0.741448779962402 26 26 PLEKHG6 HiCpLOF
ENSG00000157353 0.741600820802313 38 38 FCSK HiCpLOF
ENSG00000172232 0.741845325247154 3 3 AZU1 HiCpLOF
ENSG00000131013 0.741900677293138 15 15 PPIL4 HiCpLOF
ENSG00000205978 0.741957644508399 19 19 NYNRIN HiCpLOF
ENSG00000159714 0.742205296812143 15 15 ZDHHC1 HiCpLOF
ENSG00000274764 0.742264063910975 6 6 PRAMEF27 HiCpLOF
ENSG00000198498 0.742309848111498 7 7 TMA16 HiCpLOF
ENSG00000103496 0.742387142791109 6 6 STX4 HiCpLOF
ENSG00000146192 0.742397300983557 14 14 FGD2 HiCpLOF
ENSG00000121897 0.742453696752526 11 11 LIAS HiCpLOF
ENSG00000009790 0.742465764534805 14 14 TRAF3IP3 HiCpLOF
ENSG00000172531 0.742564353651025 8 8 PPP1CA HiCpLOF
ENSG00000223501 0.743143095265493 20 20 VPS52 HiCpLOF
ENSG00000253846 0.743243124574386 27 27 PCDHGA10 HiCpLOF
ENSG00000171564 0.743316270087007 7 7 FGB HiCpLOF
ENSG00000143643 0.743410028194916 19 19 TTC13 HiCpLOF
ENSG00000144283 0.743615016927705 25 25 PKP4 HiCpLOF
ENSG00000153113 0.743652646179589 14 14 CAST HiCpLOF
ENSG00000111012 0.743860863693467 16 16 CYP27B1 HiCpLOF
ENSG00000068724 0.744020428363188 31 31 TTC7A HiCpLOF
ENSG00000111291 0.744043116058033 9 9 GPRC5D HiCpLOF
ENSG00000106006 0.744053202852711 7 7 HOXA6 HiCpLOF
ENSG00000174963 0.74419025104614 14 14 ZIC4 HiCpLOF
ENSG00000063015 0.744200232232125 22 22 SEZ6 HiCpLOF
ENSG00000124275 0.744227740147361 24 24 MTRR HiCpLOF
ENSG00000170848 0.744243296935423 16 16 PSG6 HiCpLOF
ENSG00000162976 0.74445534084694 5 5 SLC66A3 HiCpLOF
ENSG00000137251 0.744938598513865 14 14 TINAG HiCpLOF
ENSG00000160282 0.745108019332346 30 30 FTCD HiCpLOF
ENSG00000134013 0.745293468560571 19 19 LOXL2 HiCpLOF
ENSG00000205022 0.745324052493857 14 14 PABPN1L HiCpLOF
ENSG00000138002 0.745416140112106 43 43 IFT172 HiCpLOF
ENSG00000164867 0.745419800934406 25 25 NOS3 HiCpLOF
ENSG00000170454 0.74545559705356 18 18 KRT75 HiCpLOF
ENSG00000049883 0.745805337490625 8 8 PTCD2 HiCpLOF
ENSG00000174326 0.745816110459634 12 12 SLC16A11 HiCpLOF
ENSG00000157999 0.745865098060013 3 3 ANKRD61 HiCpLOF
ENSG00000143891 0.745938629881017 10 10 GALM HiCpLOF
ENSG00000005175 0.745940015363139 23 23 RPAP3 HiCpLOF
ENSG00000100629 0.745977730035567 37 37 CEP128 HiCpLOF
ENSG00000168237 0.745990801673219 13 13 GLYCTK HiCpLOF
ENSG00000115602 0.745999995102283 10 10 IL1RL1 HiCpLOF
ENSG00000138741 0.746250332340683 9 9 TRPC3 HiCpLOF
ENSG00000103591 0.746313233586248 16 16 AAGAB HiCpLOF
ENSG00000172663 0.746428011237861 10 10 TMEM134 HiCpLOF
ENSG00000030110 0.746429483412962 6 6 BAK1 HiCpLOF
ENSG00000150991 0.746582995645534 3 3 UBC HiCpLOF
ENSG00000110697 0.746632744902284 25 25 PITPNM1 HiCpLOF
ENSG00000124608 0.747507421348551 37 37 AARS2 HiCpLOF
ENSG00000158411 0.747571547761745 9 9 MITD1 HiCpLOF
ENSG00000131910 0.747644070071222 8 8 NR0B2 HiCpLOF
ENSG00000169432 0.747822597574643 33 33 SCN9A HiCpLOF
